TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
17618903.52,17,Male,Not in labor force,Yes,,Thursday,0,-1,0,55,570,0,0,0,0,380,0,0,0,0,20,140,165,0,0,0,,110,0
6269902.876,29,Female,Employed - at work,Yes,,Tuesday,0,-1,0,45,605,45,0,0,0,440,0,0,0,0,30,135,45,0,0,60,,35,0
2671483.902,36,Male,Employed - at work,Yes,,Sunday,0,-1,0,30,568,0,0,0,454,0,0,0,0,0,50,240,0,0,0,0,,98,0
12618666.72,22,Female,Not in labor force,Yes,,Saturday,0,-1,0,120,580,15,0,0,0,210,230,0,0,0,35,120,0,0,0,0,,130,0
4771301.41,34,Male,Employed - at work,Yes,Employed,Wednesday,0,-1,0,15,525,17,0,0,610,0,10,0,0,0,45,105,0,0,0,0,,75,38
5761613.276,19,Male,Unemployed - looking,Yes,,Saturday,0,-1,0,0,1063,0,0,0,0,15,0,0,0,0,30,328,0,0,0,2,,2,0
7376754.011,27,Female,Employed - at work,Yes,,Sunday,0,-1,0,40,600,162,0,0,0,110,10,0,0,0,85,165,0,0,0,0,,90,178
11577817.49,36,Male,Not in labor force,Yes,Employed,Saturday,0,-1,0,30,480,90,0,0,0,120,0,0,0,0,15,705,0,0,0,0,,0,0
9733669.846,32,Female,Employed - at work,Yes,Employed,Sunday,0,-1,0,0,560,72,0,0,0,0,0,0,0,0,0,808,0,0,0,0,,0,0
8013521.086,44,Female,Employed - at work,Yes,Employed,Wednesday,0,-1,105,40,480,70,140,0,465,0,0,0,0,0,60,115,25,0,0,0,,45,0
8483150.547,32,Male,Employed - at work,Yes,,Wednesday,0,-1,0,0,730,60,0,20,0,240,0,0,0,0,0,220,120,0,0,0,,50,0
27028293.53,15,Male,Not in labor force,Yes,,Thursday,0,-1,0,15,398,0,0,0,0,505,0,0,0,0,20,22,145,0,0,0,,140,195
13150464.44,44,Male,Employed - at work,Yes,Employed,Friday,0,-1,40,20,330,0,35,4,525,0,0,0,0,0,90,304,0,0,0,0,,92,40
18220068.94,22,Male,Employed - at work,Yes,,Sunday,0,-1,0,65,570,0,0,0,0,60,0,0,0,0,145,225,0,0,355,0,,20,0
19835923.71,29,Female,Not in labor force,Yes,Unemployed,Friday,0,-1,0,40,545,60,0,0,0,515,0,0,0,0,100,150,0,0,0,0,,30,0
11410605.31,24,Female,Not in labor force,Yes,,Wednesday,0,-1,0,45,525,100,0,11,0,412,0,0,0,0,75,170,30,0,0,20,,52,0
13184100.38,17,Male,Not in labor force,Yes,,Monday,0,-1,0,40,563,2,0,0,0,428,0,0,0,0,70,40,60,0,191,0,,46,0
