TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
1002140.104,59,Female,Not in labor force,,,Sunday,0,155,0,105,702,200,0,0,0,0,0,0,0,0,20,356,0,0,0,23,,34,0
7719126.007,45,Female,Employed - at work,No,,Tuesday,0,-1,0,50,360,0,180,0,450,0,0,0,0,0,25,180,0,0,105,0,,90,0
2699553.373,38,Female,Employed - at work,No,Employed,Saturday,0,-1,780,0,660,0,0,0,60,0,0,0,0,0,10,708,0,0,0,2,,0,0
6477241.898,42,Female,Employed - absent,No,Employed,Thursday,0,-1,360,15,495,120,585,0,45,0,10,0,0,0,60,95,0,0,0,15,,0,0
5496841.155,59,Female,Employed - at work,,,Tuesday,0,-1,0,95,505,10,0,0,480,0,0,0,0,0,10,280,0,0,0,0,,60,0
7787057.433,75,Female,Not in labor force,,Unemployed,Friday,0,840,0,0,600,285,0,0,0,0,0,0,0,0,105,450,0,0,0,0,,0,0
1627205.118,68,Female,Not in labor force,,,Saturday,0,-1,0,20,450,330,0,0,0,0,0,0,0,0,240,400,0,0,0,0,,0,0
4104104.427,80,Female,Not in labor force,,,Wednesday,1,-1,0,0,540,120,0,0,0,0,0,0,0,0,150,630,0,0,0,0,,0,0
5311402.498,44,Female,Employed - at work,No,,Sunday,0,-1,0,95,630,80,0,0,0,0,0,0,0,0,180,270,0,0,0,0,,185,0
4340304.066,71,Female,Employed - at work,,Unemployed,Saturday,0,-1,0,45,405,220,0,5,0,0,0,0,0,0,135,375,0,60,0,0,,195,0
10272186.85,52,Female,Not in labor force,,Employed,Saturday,0,-1,0,30,565,20,0,0,0,0,40,0,0,0,10,330,0,0,0,0,,445,0
2305947.326,85,Female,Not in labor force,,,Sunday,0,-1,0,0,600,30,0,60,0,0,0,0,0,0,90,150,0,75,245,30,,55,105
5209494.518,27,Female,Not in labor force,No,Employed,Sunday,0,-1,485,50,630,35,70,0,0,0,0,0,0,0,70,270,35,0,0,0,,180,100
5345558.212,56,Female,Employed - absent,,Unemployed,Saturday,0,-1,0,0,487,0,0,0,788,0,0,0,0,0,30,135,0,0,0,0,,0,0
4962213.368,85,Female,Not in labor force,,Unemployed,Saturday,0,-1,0,0,870,170,0,0,0,0,30,0,0,0,120,220,0,0,0,0,,30,0
8144394.782,18,Female,Employed - at work,Yes,,Sunday,0,-1,0,75,410,40,0,0,505,0,15,0,0,0,50,275,0,0,0,0,,40,30
8184215.523,42,Female,Not in labor force,No,Employed,Monday,0,-1,780,75,525,300,0,0,0,0,70,0,0,0,150,300,0,0,0,0,,20,0
13557221.53,53,Female,Unemployed - looking,,Employed,Friday,0,-1,0,45,540,220,0,0,345,0,0,0,0,0,45,215,30,0,0,0,,0,0
4056625.707,69,Female,Employed - at work,,Employed,Sunday,0,-1,0,60,420,149,0,0,0,0,0,0,0,0,90,480,0,0,41,0,,80,120
15484654.86,15,Female,Not in labor force,Yes,,Wednesday,0,-1,0,70,600,50,0,0,0,425,0,0,0,0,15,90,150,0,0,0,,40,0
2662466.644,27,Female,Employed - at work,No,Employed,Sunday,0,-1,615,90,585,80,50,0,0,0,0,0,0,0,20,345,0,230,0,0,,40,0
6179221.819,15,Female,Employed - at work,Yes,,Saturday,0,-1,0,50,780,80,0,0,180,0,0,0,0,0,10,278,60,0,0,0,,2,0
